Treatment,Flag #,Board ID,Habitat,Topography,Slope,Aspect,Direction/Distance,Notes
Burn,1,TG1,Grass,Valley Flat,NA,NA,30m @ 54 degrees NE,"Mostly grass, some bare soil, some sloped CHAP on 1 side, plain colored board"
Burn,2,TW2,Woodland,Valley Flat,NA,NA,31m @ 216 degrees,"Under dense oak canopy, grass understory, slope starts right after board, ~60% canopy, plain colored board"
Burn,3,TW3,Woodland,Valley Slope,0.1,24 degrees NE,24m @ 260 degrees,"Dense oak canopy, stepped slope, leaf litter understory, ~80% canopy, plain colored board"
Burn,4,TW4,Woodland,Valley Flat,NA,NA,62m @ 230 degrees,"Young Oaks, close to Chap, mixed leaf litter/grass understory, isolated stand of trees, plain colored board"
Burn,4,TG5,Grass,Valley Slope,0.2,256 degrees W,15m @ 40 degrees,"Sloped grassland close to oak, plain colored board"
Burn,5,TW6,Woodland,Valley Slope,0.3,48 degrees NE,45m @ 256 degrees,"Near the start of oak woodland patch, dense canopy, litter understory, some bare ground, plain colored board"
Burn,5,TW7,Woodland,Valley Slope,0.1,190 degrees S,27m @ 70 degrees,"Steeper slopes surrounding grass and bare understory, near chap, middle understory, trees spaced out, plain colored board"
Burn,6,TW8,Woodland,Valley Slope,0.4,48 degrees NE,86m @ 254 degrees,"Steep slope, near downed trees, open canopy, litter/bare understory, near start of large hill"
Burn,6,TG9,Grass,Valley Slope,0.2,282 degrees W,11.5m @ 64 degrees,"start of sloped grass, mostly grass around for 20m"
Burn,7,TG10,Grass,Valley Flat,NA,NA,41m @ 262 degrees,"flat grassland, lots of thistle, no other habitat close, next to up slope w/ oaks"
Burn,7,TG11,Grass,Valley Slope,0.1,280 degrees W,11m @ 86 degrees,"grassland between stands of oak trees ~15m away, wildlife trails nearby"
Burn,8,TG12,Grass,Valley Flat,NA,NA,13m @ 275 degrees,bottom of sloped grassland near oak tree
Burn,8,TW13,Woodland,Valley Slope,0.3,320 degrees NW,40m @ 82 degrees,"dense canopy immediately over board but open in other directions, grass/litter understory, backs up on to larger woodland"
Burn,9,TG14,Grass,Valley Slope,0.3,83 degrees E,15.5m @ 265 degrees,"high sloping grassland ending in CHAP up top, near wildlife trail, 15m from large oak"
Burn,9,TW15,Woodland,Valley Slope,0.3,285 degrees W,28m @ 72 degrees,"litter understory, dense canopy, start of steep hill"
Burn,10,TG16,Grass,Valley Slope,0.3,70 degrees E,35m @ 225 degrees,open steep grassland surrounded by sparse woods
Burn,10,TG17,Grass,Valley Slope,0.2,246 degrees SW,10m @ 48 degrees,"open grass, gradual slope, some CHAP some woodlands"
Burn,11,TG18,Grass,Valley Slope,0.2,79 degrees E,16.5m @ 243 degrees,"middle of open grassland ringed by trees and CHAP, some thistle"
Burn,13,TG19,Grass,Valley Slope,0.2,44 degrees NE,21.5m @ 202 degrees,"sloped grassland ringed by trees, some bare soil"
Burn,14,TG20,Grass,Valley Slope,0.2,55 degrees NE,27m @ 182 degrees,"grassland ringed by trees on upper 3rd of local slope, near wildlife trail and other older cover boards"
Burn,15,TC21,Chaparral,Valley Slope,0.2,226 degrees SW,26m @ 162 degrees,"CHAP habitat on ridge top over oak wood, near oak CHAP"
Burn,15,TG22,Grass,Valley Slope,0.3,12 degrees N,25m @ 340 degrees,"grassland down ridge, sloping down to oak and CHAP"
Burn,16,TG23,Grass,Valley Slope,0.2,205 degrees SW,18m @ 167 degrees,"Grass close to ridge, some rocky bare soil, oaks below"
